amount,transaction_hour,account_age_days,num_transactions_last_24h,distance_from_home_km,is_foreign_transaction,is_online,class
9.39,11,2659,5,7.0228248007933765,0,0,0
120.09,12,386,2,6.304859047879092,0,0,0
14.22,7,1502,2,1.39377378997197,0,0,0
35.12,10,1737,2,21.9909396899336,0,0,0
28.1,11,2772,1,0.02826586551173449,0,1,0
22.23,22,2597,2,1.6921401331247146,0,0,0
106.48,13,1255,1,9.949816867154242,0,1,0
65.63,10,637,1,6.533816733864911,0,0,0
443.21,0,216,11,200.7398178385068,0,1,1
164.14,13,456,5,6.823268303594965,0,0,0
70.47,13,1644,3,4.289856718211984,0,0,0
53.76,16,2707,8,11.854258138133726,0,0,0
107.78,9,498,5,0.8701548874099752,0,0,0
30.84,13,1492,2,0.34337193529869037,0,1,0
58.13,14,1313,0,9.25144213732772,0,0,0
118.62,18,859,3,0.10038686318942691,0,1,0
23.9,20,2159,0,0.20101080338352872,0,0,0
119.24,13,1495,4,1.864754122789825,0,0,0
47.32,11,1505,4,10.019458641551129,0,0,0
85.66,11,1979,6,15.440075080449677,0,0,0
120.65,14,1004,1,8.188346354814508,0,0,0
70.29,16,2773,3,12.008864102362292,0,0,0
27.0,15,2174,4,15.976670801366714,0,1,0
21.99,15,795,2,13.338296850824692,0,1,0
82.08,10,33,0,5.270150027671231,0,0,0
46.37,15,1366,2,13.501286752727443,0,0,0
125.94,11,1387,5,19.262291951305194,0,0,0
166.18,19,1545,4,4.284671396708136,0,0,0
24.62,18,2765,4,11.391403690060459,0,0,0
63.63,18,2272,5,21.68241167249473,0,0,0
42.95,12,2679,5,5.257213891263256,0,0,0
9.92,7,188,3,8.224142939282823,1,1,0
18.89,16,2316,2,2.9783690277480126,0,0,0
21.29,23,975,4,5.480003713010876,0,1,0
84.62,20,538,2,16.831171870272847,0,1,0
124.65,10,1988,4,16.285612281935286,0,0,0
35.65,15,1961,2,24.000630415796138,0,1,0
67.3,16,990,1,13.387328461143852,0,0,0
154.68,7,873,4,19.229571639726444,0,0,0
87.17,5,946,1,7.45781316361248,0,0,0
176.67,17,2887,3,3.3116767667013303,0,0,0
35.78,16,75,1,13.937208707180915,0,0,0
85.16,12,1116,3,2.066594558755346,0,1,0
65.67,18,296,3,15.684726242909305,0,0,0
42.03,23,182,3,3.1727974757482382,0,0,0
909.5,1,54,10,675.5269311892807,1,1,1
84.06,15,792,1,10.155966078378341,0,0,0
34.61,15,1726,2,8.761630359514491,0,1,0
181.38,18,2125,3,6.225952126916388,0,0,0
55.43,15,1226,6,1.1255789594172807,0,0,0
129.91,10,1553,3,9.86299877351765,0,0,0
75.17,12,2822,2,16.32797262211406,0,1,0
8.4,9,1633,3,10.229550247388868,0,0,0
60.72,14,2337,0,22.811799570536664,0,0,0
60.64,19,2048,3,11.062962768538409,0,0,0
152.97,11,501,2,6.613976237715643,0,0,0
116.89,9,1269,4,11.180311828667946,0,1,0
274.09,12,1341,1,4.301366817496657,0,1,0
20.75,12,1735,2,1.656973921110295,0,0,0
149.38,13,2663,4,18.679025598326362,0,1,0
47.57,15,2727,2,6.011991653529345,0,0,0
63.32,15,2265,5,19.580649129647124,0,0,0
30.89,10,2787,1,4.330528422904083,0,0,0
107.32,9,796,0,13.17938167330173,0,0,0
14.77,15,482,5,9.954028422310477,0,1,0
107.48,17,962,6,1.9076697101794302,0,0,0
42.47,17,2502,3,16.226251316658555,0,1,0
